Comment,Designator,Footprint,LCSC,Quantity
0.1μ,"C4,C6,C7,C8",C_0402_1005Metric,C77020,4
10μ,C5,C0603,C2959727,1
4.7k,"R1,R2,R3,R4,R5,R6",R_0402_1005Metric,C281778,6
4.7μ,"C1,C2,C3",C0603,C389010,3
MAX30102,U1,Maxim_OLGA-14_3.3x5.6mm_P0.8mm,C6454833,1
~,U3,MICROPARK_L1.6-W1.6-P0.50-BL-1,C107408,1
~,FPC1,FPC-SMD_AFC07-S05FCC-00,C262199,1
~,U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C3748843,1
